"1", "", ""
"3", "", ""
"4", "", ""
"5", "Okamžitě zabije cíl.Doufám, že se teď cítíš dobře...", ""
"7", "Vyvolavatel tohoto kouzla spáchá sebevraždu, okamžitě se zabije .", ""
"10", "Ledové střepy zasypávají cílovou oblast a způsobují $o1 Mrazové poškození přes $d.", "$s1 Mrazové poškození každých $t1 $lsecond:sekund;."
"11", "", ""
"12", "", ""
"13", "", ""
"14", "", ""
"15", "", ""
"16", "", ""
"17", "Sešle na duši prátelského hráče štít , který pohltí $s1 poškození. Trvá $d.  Dokud máte Štít, vaše kouzla nebudou přerušovány útoky nepřítele. Pokud na hráče sešlete Štít, nemůžete na nej poslat další po dobu $6788d.", "Pohltí poškození."
"18", "", ""
"19", "", ""
"22", "", ""
"24", "", ""
"25", "", ""
"26", "", ""
"27", "", ""
"31", "", ""
"33", "", ""
"34", "", ""
"35", "", ""
"43", "", ""
"45", "Odrazí okolní nepřátele.", ""
"47", "", ""
"49", "", ""
"50", "", ""
"53", "Zabodni cíl a způsobí $s2% poškození zbraní plus 15 cíli. Musí být za cílem. Vyžaduje dýku v hlavní ruce. Ocenění $s3 combo $lpoint:body;.", ""
"56", "Omráčí cíl $d.", "Omráčil."
"58", "", ""
"59", "", ""
"60", "", ""
"61", "", ""
"65", "Zvyšuje vaši rychlost útoku o $s1% na $d.", ""
"66", "Změní sesilatele na neviditelného na $d, ačkoli toto kouzlo je nestabilní a může skončit předčasně.", "Menší neviditelnost."
"67", "", "Síla a hbitost snížena o $s1%."
"68", "", ""
"71", "První boj s defenzivní postojem. Snižuje škody přijatých $7376s1% a škody způsobené $7376s2%. Zvyšuje hrozbu vygenerován.", ""
"72", "Srazí cíl štítem za poškození $s2. Také přeruší sesílání kouzel a zabrání seslání jakéhokoli kouzla v této škole na $d.", ""
"75", "Automaticky střílí na cíl do doby zrušení.", "pálící na cíl."
"76", "Protiútok na nepřítele pro $s1 další poškození. Odveta musí následovat obrannou akci.", ""
"77", "", ""
"78", "Silný útok, který zvyšuje melee poškození o $s1 a způsobuje hodně ohrožení.", ""
"81", "Dává šanci na úhyb při nepřátelské útočné šarvátce.", ""
"84", "", ""
"87", "", ""
"89", "Zmrzačí cíl, snižuje rychlost pohybu o $s3%, prodlužuje čas mezi útoky na blízko o $s1% a prodlužuje čas mezi útoky na dálku o $s2%. Trvá $d.", "Rychlost pohybu snížena o $s3%. Čas mezi útoky na blízko se zvětšil o $s1%. Čas mezi útoky na dálku se zvýšil o $s2%."
"91", "", ""
"94", "Zvyšuje regeneraci many členů party v $a1 yardech o $s1 každých $t1 sekund. Hráči na sobě mohou mít vždy pouze jednu Auru na Paladina.", "Zvyšuje regeneraci many o $s1 každých $t1 sekund."
"96", "Zvětšuje poškození, způsobené následujícím útokem zblízka o $s1 a způsobí cíli krvácení.", "Krvácí za $s2 zranění každých $t2 sekund."
"99", "Druidův řev, snižuje nejbližším nepřátelským jednotkám sílu sečného útoku o $s1.  Dalších $d.", "Snižuje sílu sečného útoku o $s1."
"100", "Nabij nepřítele, vygeneruj vztek $/10;s2 a omráč ho na $7922d. Nelze použít v boji.", ""
"101", "Podrazí nepřátelského humanoida, způsobí $s2 zranění a srazí nepřítele na zem na $d.  Dává $s3 kombo bodů.", ""
"103", "", ""
"107", "Dává šanci blokovat nepřítele ve rvačce a rozsah útoků.", ""
"108", "", ""
"109", "", ""
"110", "", ""
"111", "", ""
"112", "", ""
"113", "Zformuje Ledové řetězy okolo cíle, uzamkne ho na místě na $d.", "Zakořeněný na místě."
"114", "Obklopí cíl mrazovým štítem, poškodí a zpomalí útočníky cíle. Vydrží $d.", ""
"116", "Vypustí blesk mrazu na nepřítele způsobící $s2 mrazivého poškození a snížení rychlosti pohybu o $s1% na $d.", "Rychlost pohybu snížena o $s1%."
"118", "Promnění nepřítele na ovci,a zároveň cíl dezorientuje $d. Dokud je cíl ovcí nemůže kouzlit ani bojovat, ale zato se rychleji léčí.  Jakékoli zranění promnění cíl do původní formy. Pouze jeden cíl může být přemněněn. Funguje na zvířata, hráče a lidi.", "Cíl nemůže bojovat ani kouzlit. zvišuje léčení."
"120", "Cíle v kuželi před sesilatelem dostanou $s2 mrazivého poškození a jsou zpomaleni o $s1% na $d.", "Rychlost pohybu snížena o $s1%."
"122", "Vlna zasáhne blízko stojící nepřátele u kouzelníka za $s1 Mrazivého poškození a zmrazí je na místě po dobu $d. Další jejich zranění může narušit tento efekt.", "Zmrazeni na místě."
"124", "", ""
"126", "Přivolá nebo odvolá Oko Kilrogga přes které uvidíte, bohužel je velmi křehké.", "Ovládání Oko Kilrogga."
"128", "Odstraní sesilateli všechny magické efekty a pohltí $s2 magické poškození za $d.", "Absorpce magického poškození."
"130", "Zpomalý rychlost pádu pro $d.", "Zpomalý rychlost pádu."
"131", "Umožnuje cíli dýchat pod vodou pro $d.", "Vodní dýchání."
"132", "Umožňuje přátelskému cíli detekovat menší neviditelnost po dobu $d.", "Detekovat menší neviditelnost."
"133", "Vrhne ohnivou kouli, která způsobí $s1 ohnivého poškození a dodatečně $o2 ohnivého poškození po $d.", "$s2 ohnivého zranění každé $t2 sekundy."
"134", "Obklopí spojence Ohnivým štítem, který způsobí $3052s1 ohnivé poškození blízkým nepřátelům každou $t1 sec.  Trvá $d.", "Způsobí $3052s1 ohnivého poškození blízkým nepřátelům každou $t1 sec."
"136", "Léčí zdraví vašeho mazlíčka každou sekundu, když se soustředíte. Vydrží $d.", "Léčí $s1 každou sekundu."
"139", "Vyléčí cíli $o1 poškození za $d.", "Léčí $s1 zranění každou $t1 sekundu."
"142", "", ""
"143", "Vrhne ohnivou kouli, která způsobí $s1 ohnivého poškození a dodatečně $o2 ohnivého poškození po $d.", "$s2 ohnivého zranění každé $t2 sekundy."
